Model,Baseline,Pos. Swap,Rubric,CoT,Combined Budget
Gemini 2.5 Pro,"0.835 [0.785, 0.885]","0.760 [0.695, 0.815]","0.840 [0.790, 0.890]","0.835 [0.785, 0.885]","0.765 [0.705, 0.825]"
Claude Sonnet 4,"0.740 [0.680, 0.800]","0.700 [0.640, 0.765]","0.740 [0.680, 0.800]","0.870 [0.820, 0.915]","0.780 [0.725, 0.840]"
GPT-4o,"0.734 [0.673, 0.789]","0.623 [0.558, 0.693]","0.719 [0.653, 0.779]","0.764 [0.704, 0.824]","0.653 [0.583, 0.719]"
Llama 3.3-70B,"0.665 [0.595, 0.730]","0.600 [0.530, 0.670]","0.585 [0.515, 0.655]","0.705 [0.640, 0.765]","0.535 [0.465, 0.605]"
Gemini 2.5 Flash,"0.800 [0.745, 0.855]","0.785 [0.725, 0.840]","0.820 [0.765, 0.870]","0.830 [0.775, 0.880]","0.810 [0.755, 0.860]"
